"sub","ses","train_type","transfer","order_id","complete_task"
1,3,1,3,1,1
2,3,2,3,1,1
3,3,1,3,1,2
4,3,2,3,1,2
5,3,1,3,2,1
6,3,2,3,2,1
7,3,1,3,2,2
8,3,2,3,2,2
9,3,1,3,6,1
10,3,2,3,6,1
11,3,1,3,6,2
12,3,2,3,6,2
13,3,1,3,5,1
14,3,2,3,5,1
15,3,1,3,5,2
16,3,2,3,5,2
17,3,1,3,3,1
18,3,2,3,3,1
19,3,1,3,3,2
20,3,2,3,3,2
21,3,1,3,4,1
22,3,2,3,4,1
23,3,1,3,4,2
24,3,2,3,4,2
25,3,1,3,1,2
26,3,2,3,1,2
27,3,1,3,1,1
28,3,2,3,1,1
29,3,1,3,2,2
30,3,2,3,2,2
31,3,1,3,2,1
32,3,2,3,2,1
33,3,1,3,6,2
34,3,2,3,6,2
35,3,1,3,6,1
36,3,2,3,6,1
37,3,1,3,5,2
38,3,2,3,5,2
39,3,1,3,5,1
40,3,2,3,5,1
41,3,1,3,3,2
42,3,2,3,3,2
43,3,1,3,3,1
44,3,2,3,3,1
45,3,1,3,4,2
46,3,2,3,4,2
47,3,1,3,4,1
48,3,2,3,4,1
49,3,1,3,1,1
50,3,2,3,1,1
51,3,1,3,1,2
52,3,2,3,1,2
53,3,1,3,2,1
54,3,2,3,2,1
55,3,1,3,2,2
56,3,2,3,2,2
57,3,1,3,6,1
58,3,2,3,6,1
59,3,1,3,6,2
60,3,2,3,6,2
61,3,1,3,5,1
62,3,2,3,5,1
63,3,1,3,5,2
64,3,2,3,5,2
65,3,1,3,3,1
66,3,2,3,3,1
67,3,1,3,3,2
68,3,2,3,3,2
69,3,1,3,4,1
70,3,2,3,4,1
71,3,1,3,4,2
72,3,2,3,4,2
73,3,1,3,1,1
74,3,2,3,1,1
75,3,1,3,1,2
76,3,2,3,1,2
77,3,1,3,2,1
78,3,2,3,2,1
79,3,1,3,2,2
80,3,2,3,2,2
81,3,1,3,6,1
82,3,2,3,6,1
83,3,1,3,6,2
84,3,2,3,6,2
85,3,1,3,5,1
86,3,2,3,5,1
87,3,1,3,5,2
88,3,2,3,5,2
89,3,1,3,3,1
90,3,2,3,3,1
91,3,1,3,3,2
92,3,2,3,3,2
93,3,1,3,4,1
94,3,2,3,4,1
95,3,1,3,4,2
96,3,2,3,4,2
